Name,CollegeID,State_Abbreviation,State
Duke University,677,North Carolina,34
East Carolina University,678,North Carolina,34
Elizabeth City State University,679,North Carolina,34
Elon University,680,North Carolina,34
Fayetteville State University,681,North Carolina,34
Gardner-Webb University,682,North Carolina,34
Greensboro College,683,North Carolina,34
Guilford College,684,North Carolina,34
Johnson C Smith University,685,North Carolina,34
Lenoir-Rhyne University,686,North Carolina,34
Mars Hill University,687,North Carolina,34
Meredith College,688,North Carolina,34
Methodist University,689,North Carolina,34
Montreat College,690,North Carolina,34
Mount Olive College,691,North Carolina,34
North Carolina A & T State University,692,North Carolina,34
University Of North Carolina At Asheville,693,North Carolina,34
University Of North Carolina At Chapel Hill,694,North Carolina,34
University Of North Carolina At Charlotte,695,North Carolina,34
University Of North Carolina At Greensboro,696,North Carolina,34
North Carolina Central University,697,North Carolina,34
North Carolina State University At Raleigh,698,North Carolina,34
University Of North Carolina Wilmington,699,North Carolina,34
William Peace University,700,North Carolina,34
University Of North Carolina At Pembroke,701,North Carolina,34
Queens University Of Charlotte,702,North Carolina,34
Salem College,703,North Carolina,34
St Andrews University,704,North Carolina,34
Wingate University,705,North Carolina,34
Winston-Salem State University,706,North Carolina,34
Western Carolina University,707,North Carolina,34
Dickinson State University,708,North Dakota,35
University Of Jamestown,709,North Dakota,35
University Of Mary,710,North Dakota,35
Minot State University,711,North Dakota,35
University Of North Dakota,712,North Dakota,35
North Dakota State University-Main Campus,713,North Dakota,35
Valley City State University,714,North Dakota,35
University Of Akron Main Campus,715,Ohio,36
Ashland University,716,Ohio,36
Baldwin Wallace University,717,Ohio,36
Bluffton University,718,Ohio,36
Bowling Green State University-Main Campus,719,Ohio,36
Capital University,720,Ohio,36
Case Western Reserve University,721,Ohio,36
Cedarville University,722,Ohio,36
Central State University,723,Ohio,36
University Of Cincinnati-Main Campus,724,Ohio,36
Ohio Christian University,725,Ohio,36
Cleveland State University,726,Ohio,36
University Of Dayton,727,Ohio,36
Defiance College,728,Ohio,36
Denison University,729,Ohio,36
The University Of Findlay,730,Ohio,36
Hiram College,731,Ohio,36
John Carroll University,732,Ohio,36
Kent State University At Kent,733,Ohio,36
Malone University,734,Ohio,36
Marietta College,735,Ohio,36
Miami University-Oxford,736,Ohio,36
University Of Mount Union,737,Ohio,36
Mount Vernon Nazarene University,738,Ohio,36
College Of Mount St Joseph,739,Ohio,36
Muskingum University,740,Ohio,36
Notre Dame College,741,Ohio,36
Oberlin College,742,Ohio,36
Ohio Dominican University,743,Ohio,36
Ohio Northern University,744,Ohio,36
Ohio State University-Main Campus,745,Ohio,36
Ohio University-Main Campus,746,Ohio,36
Ohio Wesleyan University,747,Ohio,36
Otterbein University,748,Ohio,36
Franciscan University Of Steubenville,749,Ohio,36
Tiffin University,750,Ohio,36
University Of Toledo,751,Ohio,36
Ursuline College,752,Ohio,36
Walsh University,753,Ohio,36
Wilmington College,754,Ohio,36
Wittenberg University,755,Ohio,36
Xavier University,756,Ohio,36
Bacone College,757,Oklahoma,37
Oklahoma Wesleyan University,758,Oklahoma,37
University Of Central Oklahoma,759,Oklahoma,37
East Central University,760,Oklahoma,37
Northeastern State University,761,Oklahoma,37
Northwestern Oklahoma State University,762,Oklahoma,37
Oklahoma Christian University,763,Oklahoma,37
Oklahoma State University-Main Campus,764,Oklahoma,37
Oklahoma Baptist University,765,Oklahoma,37
Oklahoma City University,766,Oklahoma,37
University Of Oklahoma-Norman Campus,767,Oklahoma,37
Oral Roberts University,768,Oklahoma,37
Rogers State University,769,Oklahoma,37
University Of Science And Arts Of Oklahoma,770,Oklahoma,37
Southeastern Oklahoma State University,771,Oklahoma,37
Southwestern Christian University,772,Oklahoma,37
Southwestern Oklahoma State University,773,Oklahoma,37
University Of Tulsa,774,Oklahoma,37
Concordia University-Portland,775,Oregon,38
Eastern Oregon University,776,Oregon,38
George Fox University,777,Oregon,38
Lewis & Clark College,778,Oregon,38
Northwest Christian University,779,Oregon,38
Oregon Institute Of Technology,780,Oregon,38
Oregon State University,781,Oregon,38
University Of Oregon,782,Oregon,38
